Latitude,Longitude,label
55.842646,37.665569,10
55.792396,37.639623,10
55.476213,37.532085,11
55.714055,37.827487,8
55.839237,37.661223,10
55.709922,37.584119,6
55.730041,37.625329,6
55.830675,37.644496,10
55.725158,37.764405,8
55.568752,37.477168,11
55.783225,37.820811,8
55.700664,37.795306,8
55.551986,37.538956,11
55.832242,37.394981,7
55.70882,37.742054,4
55.605018,37.485749,11
55.740455,37.58534,6
55.855878,37.355361,7
55.771902,37.603132,6
55.742058,37.427867,1
55.723339,37.79771,8
55.773937,37.622335,6
55.910338,37.586711,3
55.714139,37.827565,8
55.738469,37.52705,6
55.875908,37.493491,3
55.743314,37.584226,6
55.644873,37.673379,0
55.753977,37.369224,7
55.702918,37.548992,6
55.771241,37.543627,6
55.726962,37.466819,1
55.875935,37.493493,3
55.701288,37.613141,6
55.555005,37.587088,11
55.729515,37.480507,1
55.960883,37.18658,5
55.972786,37.149291,5
55.71638,37.813484,8
55.760386,37.764155,8
55.72161,37.773033,8
55.715572,37.678711,4
55.773927,37.621329,6
55.698115,37.461972,1
55.748387,37.768885,8
55.75324,37.725227,4
55.693527,37.467369,1
55.871547,37.585894,3
55.77157,37.843339,8
55.850004,37.434034,7
55.769263,37.720061,4
55.792036,37.592245,6
55.625597,37.677864,0
55.576315,37.471313,11
55.829974,37.651248,10
55.677414,37.834448,8
55.833916,37.655168,10
55.604641,37.631556,0
55.882593,37.454898,7
55.657961,37.500048,1
55.687463,37.73682,4
55.75255,37.722963,4
56.010542,37.202791,5
55.567881,37.479683,11
55.594898,37.602562,11
55.660962,37.619228,0
55.877528,37.431238,7
55.87604,37.493669,3
55.876,37.493569,3
55.676679,37.671587,0
55.809384,37.781049,8
55.989762,37.184887,5
55.710456,37.539043,6
55.772708,37.646559,4
55.655615,37.6198,0
55.727943,37.662252,4
55.862321,37.604097,10
55.885563,37.395821,7
55.736423,37.66393,4
55.735604,37.660732,4
55.875666,37.636782,10
55.865317,37.485581,3
55.667473,37.487543,1
55.754111,37.672579,4
55.908486,37.594448,3
55.726236,37.433497,1
55.713969,37.453584,1
55.821635,37.837007,8
55.578148,37.584648,11
55.842345,37.370326,7
55.789028,37.766526,8
55.736058,37.702115,4
55.69949,37.61441,6
55.674115,37.589722,6
55.803651,37.544291,3
55.811861,37.819984,8
